participant_id_in_session,participant_code,participant_label,participant_time_started_utc,participant_ses_treat,participant_fb_treat,participant_total_points,session_code,session_label,session_is_demo,understanding_q1,understanding_q2,pgg_1_payoff,pgg_1_endowment ,pgg_1_contribution,pgg_1_group_id,pgg_1_group_total_spend,pgg_1_individual_share,pgg_2_payoff,pgg_2_contribution,pgg_2_group_id,pgg_2_group_total_spend,pgg_2_individual_share,pgg_3_payoff,pgg_3_contribution,pgg_3_group_id,pgg_3_group_total_spend,pgg_3_individual_share,post_survey_player_country,post_survey_player_education_level,post_survey_player_mothers_education_level,post_survey_player_fathers_education_level,post_survey_player_occupation,post_survey_player_household_composition,post_survey_player_number_of_books,post_survey_player_income
1,pi6rbc5e,P1-5g3fxpb8-2023-12-20_15:31,2023-12-20 15:25:55.587258,high,competitive,27.0,5g3fxpb8,,0,,,9.0,6.0,0.0,7,8.0,3.0,9.0,0.0,17,7.0,3.0,9.0,0.0,19,7.0,3.0,,,,,,,,
2,ldjij5ax,P2-5g3fxpb8-2023-12-20_15:31,2023-12-20 15:25:55.866348,low,cooperative,18.0,5g3fxpb8,,0,2.0,3.0,6.0,4.0,2.0,5,10.0,4.0,6.0,2.0,10,9.0,4.0,6.0,1.0,13,7.0,3.0,Austria,Bachelor's degree or equivalent,Lower secondary education,Primary education,"Skilled agricultural, forestry and fishery workers",Two persons,Enough to fill half a shelf (11--25 books),20.000 - 29.999€
3,d8dmpx55,P3-5g3fxpb8-2023-12-20_15:31,2023-12-20 15:25:55.702905,low,cooperative,14.0,5g3fxpb8,,0,2.0,3.0,5.0,4.0,2.0,3,7.0,3.0,5.0,3.0,9,9.0,4.0,4.0,4.0,14,9.0,4.0,Austria,Bachelor's degree or equivalent,Upper secondary education,Upper secondary education,Technicians and associate professionals,Two persons,None or a few (0--10 books),30.000 - 34.999€
4,5kqh9f15,P4-5g3fxpb8-2023-12-20_15:31,2023-12-20 15:25:55.885807,high,competitive,25.0,5g3fxpb8,,0,,,10.0,6.0,0.0,2,10.0,4.0,8.0,4.0,12,15.0,6.0,7.0,4.0,15,13.0,5.0,Germany,No schooling,No schooling,No schooling,Service workers and shop and market sales workers,Prefer not to answer,Enough to fill two bookshelves (101–200 books),prefer not to answer
5,w2nf4042,P5-5g3fxpb8-2023-12-20_15:31,2023-12-20 15:25:55.743513,low,cooperative,20.0,5g3fxpb8,,0,,,6.0,4.0,2.0,5,10.0,4.0,7.0,1.0,10,9.0,4.0,7.0,1.0,14,9.0,4.0,Austria,Bachelor's degree or equivalent,Post-secondary non-tertiary,Post-secondary non-tertiary,Craft and related trade workers,Four persons,Enough to fill three or more bookshelves (more than 200 books),prefer not to answer
6,8q9fvezy,P6-5g3fxpb8-2023-12-20_15:31,2023-12-20 15:25:55.751671,low,control,19.0,5g3fxpb8,,0,,,6.0,4.0,2.0,4,11.0,4.0,7.0,1.0,8,11.0,4.0,6.0,1.0,11,8.0,3.0,Austria,Bachelor's degree or equivalent,Bachelor's degree or equivalent,Lower secondary education,Technicians and associate professionals,One person (just me),Enough to fill half a shelf (11--25 books),20.000 - 29.999€
7,06251aos,P7-5g3fxpb8-2023-12-20_15:31,2023-12-20 15:25:55.771579,high,cooperative,18.0,5g3fxpb8,,0,2.0,3.0,6.0,6.0,4.0,5,10.0,4.0,6.0,4.0,10,9.0,4.0,6.0,3.0,13,7.0,3.0,Austria,Master's degree or equivalent,Post-secondary non-tertiary,Bachelor's degree or equivalent,Professionals,Four persons,Enough to fill half a shelf (11--25 books),prefer not to answer
8,gim3o13f,P8-5g3fxpb8-2023-12-20_15:31,2023-12-20 15:25:55.779092,high,competitive,24.0,5g3fxpb8,,0,2.0,3.0,7.0,6.0,3.0,2,10.0,4.0,8.0,4.0,12,15.0,6.0,9.0,2.0,15,13.0,5.0,Austria,Bachelor's degree or equivalent,Doctoral degree or equivalent,Master's degree or equivalent,None of the above,Two persons,Enough to fill half a shelf (11--25 books),10.000€ - 19.999€
9,24dqxmc5,P9-5g3fxpb8-2023-12-20_15:31,2023-12-20 15:25:55.809392,low,competitive,16.0,5g3fxpb8,,0,2.0,3.0,5.0,4.0,3.0,2,10.0,4.0,6.0,4.0,12,15.0,6.0,5.0,4.0,15,13.0,5.0,Austria,Bachelor's degree or equivalent,Post-secondary non-tertiary,Post-secondary non-tertiary,None of the above,Two persons,Enough to fill two bookshelves (101–200 books),10.000€ - 19.999€
10,kgm990bn,P10-5g3fxpb8-2023-12-20_15:31,2023-12-20 15:25:55.848051,high,competitive,17.0,5g3fxpb8,,0,2.0,3.0,5.0,6.0,4.0,7,8.0,3.0,6.0,3.0,17,7.0,3.0,6.0,3.0,19,7.0,3.0,Austria,Bachelor's degree or equivalent,Post-secondary non-tertiary,Bachelor's degree or equivalent,Professionals,Two persons,Enough to fill two bookshelves (101–200 books),prefer not to answer
