participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.ses_treat,participant.fb_treat,participant.total_points,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.use_browser_bots,session.config.name,session.config.participation_fee,session.config.experiment_started,session.config.real_world_currency_per_point,session.experiment_started,app_initial_survey.1.player.id_in_group,app_initial_survey.1.player.role,app_initial_survey.1.player.payoff,app_initial_survey.1.player.income,app_initial_survey.1.player.curr_question,app_initial_survey.1.player.q1,app_initial_survey.1.player.q2,app_initial_survey.1.group.id_in_subsession,app_initial_survey.1.subsession.round_number,app_smartcity_pgg.1.player.id_in_group,app_smartcity_pgg.1.player.role,app_smartcity_pgg.1.player.payoff,app_smartcity_pgg.1.player.endowment,app_smartcity_pgg.1.player.s1_contribution,app_smartcity_pgg.1.player.s2_contribution,app_smartcity_pgg.1.player.s3_contribution,app_smartcity_pgg.1.group.id_in_subsession,app_smartcity_pgg.1.group.total_spend,app_smartcity_pgg.1.group.individual_share,app_smartcity_pgg.1.subsession.round_number,app_smartcity_pgg.2.player.id_in_group,app_smartcity_pgg.2.player.role,app_smartcity_pgg.2.player.payoff,app_smartcity_pgg.2.player.endowment,app_smartcity_pgg.2.player.s1_contribution,app_smartcity_pgg.2.player.s2_contribution,app_smartcity_pgg.2.player.s3_contribution,app_smartcity_pgg.2.group.id_in_subsession,app_smartcity_pgg.2.group.total_spend,app_smartcity_pgg.2.group.individual_share,app_smartcity_pgg.2.subsession.round_number,app_smartcity_pgg.3.player.id_in_group,app_smartcity_pgg.3.player.role,app_smartcity_pgg.3.player.payoff,app_smartcity_pgg.3.player.endowment,app_smartcity_pgg.3.player.s1_contribution,app_smartcity_pgg.3.player.s2_contribution,app_smartcity_pgg.3.player.s3_contribution,app_smartcity_pgg.3.group.id_in_subsession,app_smartcity_pgg.3.group.total_spend,app_smartcity_pgg.3.group.individual_share,app_smartcity_pgg.3.subsession.round_number,app_post_survey.1.player.id_in_group,app_post_survey.1.player.role,app_post_survey.1.player.payoff,app_post_survey.1.player.country,app_post_survey.1.player.education_level,app_post_survey.1.player.mothers_education_level,app_post_survey.1.player.fathers_education_level,app_post_survey.1.player.occupation,app_post_survey.1.player.household_composition,app_post_survey.1.player.number_of_books,app_post_survey.1.player.income,app_post_survey.1.group.id_in_subsession,app_post_survey.1.subsession.round_number
1,emli6lto,P1-cr61dpdm-2023-12-20_10:45,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 10:39:50.837432,1,,,18.0,low,competitive,18.0,cr61dpdm,,,,,0,0,real_session,0.0,0,1.0,,1,,0.0,0,1,,,1,1,1,,6.0,4.0,0.0,,,7,6.0,2.0,1,1,,6.0,4.0,,0.0,,18,4.0,2.0,2,2,,6.0,4.0,,,0.0,19,5.0,2.0,3,1,,0.0,,,,,,,,,1,1
2,0khnerun,P2-cr61dpdm-2023-12-20_10:45,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 10:39:50.902341,1,,,22.0,high,competitive,22.0,cr61dpdm,,,,,0,0,real_session,0.0,0,1.0,,2,,0.0,10,3,2,3,1,1,3,,7.0,6.0,4.0,,,6,13.0,5.0,1,3,,7.0,6.0,,3.0,,10,10.0,4.0,2,3,,8.0,6.0,,,2.0,15,9.0,4.0,3,2,,0.0,Austria,Master's degree or equivalent level,Bachelor's degree or equivalent level,Bachelor's degree or equivalent level,Service workers and shop and market sales workers,Three persons,Enough to fill three or more bookshelves (more than 200 books),,1,1
3,s8zst2at,P3-cr61dpdm-2023-12-20_10:45,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 10:39:50.972005,1,,,22.0,high,cooperative,22.0,cr61dpdm,,,,,0,0,real_session,0.0,0,1.0,,3,,0.0,7,3,2,3,1,1,3,,8.0,6.0,3.0,,,3,13.0,5.0,1,3,,8.0,6.0,,2.0,,9,11.0,4.0,2,4,,6.0,6.0,,,4.0,14,10.0,4.0,3,3,,0.0,Other,Master's degree or equivalent level,Doctoral degree or equivalent level,Doctoral degree or equivalent level,None of the above,Other,Enough to fill three or more bookshelves (more than 200 books),> 65.000€,1,1
4,qud0x8ww,P4-cr61dpdm-2023-12-20_10:45,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 10:39:50.998312,1,,,23.0,low,control,23.0,cr61dpdm,,,,,0,0,real_session,0.0,0,1.0,,4,,0.0,1,3,2,3,1,1,1,,7.0,4.0,0.0,,,2,7.0,3.0,1,1,,7.0,4.0,,1.0,,11,10.0,4.0,2,1,,9.0,4.0,,,0.0,13,12.0,5.0,3,4,,0.0,Austria,Bachelor's degree or equivalent level,"Upper secondary education (e.g. High School, Gymnasium, Higher technical and vocational college)",Master's degree or equivalent level,Professionals,Two persons,Enough to fill two bookshelves (101–200 books),,1,1
5,6r899vdb,P5-cr61dpdm-2023-12-20_10:45,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 10:39:50.991760,1,,,19.0,high,control,19.0,cr61dpdm,,,,,0,0,real_session,0.0,0,1.0,,5,,0.0,6,3,2,3,1,1,3,,5.0,6.0,4.0,,,2,7.0,3.0,1,3,,7.0,6.0,,3.0,,11,10.0,4.0,2,3,,7.0,6.0,,,4.0,13,12.0,5.0,3,5,,0.0,Austria,Bachelor's degree or equivalent level,"Lower secondary education (e.g. middle school, AHS)","Lower secondary education (e.g. middle school, AHS)",Technicians and associate professionals,Four persons,,,1,1
6,q101zlou,P6-cr61dpdm-2023-12-20_10:45,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 10:39:51.647519,1,,,21.0,high,control,21.0,cr61dpdm,,,,,0,0,real_session,0.0,0,1.0,,6,,0.0,7,3,2,3,1,1,4,,7.0,6.0,2.0,,,2,7.0,3.0,1,4,,7.0,6.0,,3.0,,11,10.0,4.0,2,4,,7.0,6.0,,,4.0,13,12.0,5.0,3,6,,0.0,Austria,Bachelor's degree or equivalent level,Doctoral degree or equivalent level,Master's degree or equivalent level,Professionals,One person (just me),Enough to fill two bookshelves (101–200 books),10.000€ - 19.999€,1,1
7,4s6vftmd,P7-cr61dpdm-2023-12-20_10:45,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 10:39:51.625423,1,,,24.0,high,cooperative,24.0,cr61dpdm,,,,,0,0,real_session,0.0,0,1.0,,7,,0.0,6,3,2,3,1,1,3,,8.0,6.0,2.0,,,4,9.0,4.0,1,3,,6.0,6.0,,4.0,,12,10.0,4.0,2,3,,10.0,6.0,,,0.0,20,10.0,4.0,3,7,,0.0,Austria,Primary education (elementary school),"Upper secondary education (e.g. High School, Gymnasium, Higher technical and vocational college)","Lower secondary education (e.g. middle school, AHS)","Legislators, senior officials and managers",Two persons and three children,Enough to fill three or more bookshelves (more than 200 books),20.000 - 29.999€,1,1
8,5kq0r2ty,P8-cr61dpdm-2023-12-20_10:45,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 10:39:51.477215,1,,,20.0,high,cooperative,20.0,cr61dpdm,,,,,0,0,real_session,0.0,0,1.0,,8,,0.0,8,1,,,1,1,4,,7.0,6.0,4.0,,,3,13.0,5.0,1,4,,6.0,6.0,,4.0,,9,11.0,4.0,2,3,,7.0,6.0,,,3.0,14,10.0,4.0,3,8,,0.0,Austria,Master's degree or equivalent level,Doctoral degree or equivalent level,Doctoral degree or equivalent level,None of the above,Two persons and two children,Enough to fill three or more bookshelves (more than 200 books),prefer not to answer,1,1
9,asx78s8t,P9-cr61dpdm-2023-12-20_10:45,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 10:39:51.510666,1,,,23.0,high,competitive,23.0,cr61dpdm,,,,,0,0,real_session,0.0,0,1.0,,9,,0.0,8,3,2,3,1,1,4,,7.0,6.0,4.0,,,6,13.0,5.0,1,4,,9.0,6.0,,1.0,,10,10.0,4.0,2,4,,7.0,6.0,,,3.0,15,9.0,4.0,3,9,,0.0,Austria,Bachelor's degree or equivalent level,Bachelor's degree or equivalent level,Bachelor's degree or equivalent level,None of the above,One person (just me),Enough to fill two bookshelves (101–200 books),30.000 - 34.999€,1,1
10,z3xm8l7b,P10-cr61dpdm-2023-12-20_10:45,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 10:39:51.576627,1,,,13.0,low,competitive,13.0,cr61dpdm,,,,,0,0,real_session,0.0,0,1.0,,10,,0.0,3,3,2,3,1,1,1,,5.0,4.0,4.0,,,6,13.0,5.0,1,2,,4.0,4.0,,4.0,,10,10.0,4.0,2,2,,4.0,4.0,,,4.0,15,9.0,4.0,3,10,,0.0,Austria,Bachelor's degree or equivalent level,"Upper secondary education (e.g. High School, Gymnasium, Higher technical and vocational college)",Master's degree or equivalent level,Technicians and associate professionals,Three persons,Enough to fill half a shelf (11--25 books),,1,1
